Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
"Agneau, côtelette, grillée","239,60","25,7",58,0,"15,2",0,-,0,0,"1,02",0,0,"6,52","4,19","0,51",-,-,"0,08","0,029","0,086","0,76","2,93","2,39","4,19","0,35","0,11","0,043","0,014","< 0,014","48,9","0,31","19,7",-,"0,077",-,5,"20,1","0,0079",184,-,"9,97",-,"3,5","5,5",0,-,-,-,-,-,-,-,"7,45",-,-,-,"2,8"
"Agneau, épaule, crue","203,70",19,"64,4","0,2","14,1",0,-,0,0,"0,85",0,0,"6,23","6,19","1,04",0,0,0,"0,042","0,075","0,63","3,19","2,29","4,73","0,31","0,31",0,0,0,"72,5","0,17","12,7",-,"0,11","1,5","0,7",19,"0,015",170,224,"6,05","68,7","3,68",45,0,"0,4","0,46","3,4",-,1,"0,15","0,26","4,98","0,62","0,17","10,8","1,87"
"Agneau, épaule, maigre, crue","139,24","19,6",73,0,"6,76",0,-,0,0,"1,04",0,0,"2,42","2,72","0,62",0,0,0,"0,01","0,02","0,18","1,31","0,8",-,-,-,-,0,0,66,"0,18",15,-,"0,11","1,66",-,24,"0,024",184,274,-,70,"4,77",0,0,"0,1","0,22","3,4",-,0,"0,12","0,22","5,45","0,71","0,16",23,"2,78"
"Agneau, épaule, maigre, rôtie/cuite au four","196,80","24,9","64,2",0,"10,8",0,-,0,0,"1,33",0,0,"4,08","4,36","0,95",0,0,0,"0,02","0,03","0,32","2,17","1,33",-,-,-,-,0,0,87,"0,17",19,-,"0,11","2,13",5,25,"0,026",200,265,6,68,"6,04",0,0,"0,1","0,18","4,5",-,0,"0,09","0,26","5,76","0,73","0,15",25,"2,7"
"Agneau, épaule, rôtie/cuite au four","252,50","30,5","53,7",0,"14,5",0,-,0,0,"1,22",0,0,"5,26","4,69","1,26",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"99,8","0,24","8,8",61,"0,2","2,2","8,6","25,4","< 0,1",231,376,< 5,"95,5","4,7","7,5",0,"< 0,5","0,14","4,6",-,"6,9","0,064","0,3","7,2","0,3","0,21","24,2","2,72"
"Agneau, gigot, braisé","222,07","35,2","55,2",0,"9,03",0,-,0,0,-,0,0,"3,46","3,34","0,83",-,-,-,-,"0,041","0,35","1,74","0,97","2,6","0,45","0,067","0,078",-,"0,012",-,-,-,-,-,"0,97",-,-,-,-,-,"13,6",-,"5,28",-,-,-,-,-,-,-,-,-,"6,52",-,"0,16",-,"1,88"
"Agneau, gigot, cru","128,09",20,"74,5","0,48","5,13",0,-,0,0,"0,96",0,0,"1,97","1,9","0,47",0,0,0,"0,06","0,023","0,2","0,99","0,55","1,48","0,25","0,038","0,044",0,0,"72,7","0,12",10,-,"0,12","1,51","0,7","21,9","0,015",177,255,"7,73","48,7",3,45,-,"0,4","0,46",0,-,1,"0,15","0,27","6,52","0,63","0,26","9,8","2,17"
"Agneau, gigot, grillé/poêlé","174,12","27,6","64,8",0,"7,08",0,-,0,0,-,0,0,"2,63","2,54","0,63",-,-,-,-,"0,031","0,27","1,32","0,73","1,98","0,34","0,051","0,059",-,"0,009",-,-,-,-,-,"1,51",-,-,-,-,-,"10,7",-,"4,15",-,-,-,-,-,-,-,-,-,"6,52",-,"0,23",-,"1,88"
"Agneau, gigot, rôti/cuit au four","165,65",26,"65,9",0,"6,85",0,-,0,0,"1,32",0,0,"2,63","2,54","0,63",-,-,-,"0,015","0,031","0,27","1,32","0,73","1,98","0,34","0,051","0,059","0,0076","0,009","97,6","0,19","21,8",61,"0,12","1,4",5,"30,7","0,015",183,301,"10,3","75,5","4,01",0,0,-,"0,13",-,-,0,"0,1","0,28","6,52","0,83","0,24",17,"1,88"
"Agneau, selle, crue","235,60","17,5","63,8",0,"18,4",0,-,0,0,"0,77",0,0,"7,95","6,97","1,29",-,-,-,"0,07","0,086","0,81","3,84","2,21","5,16","0,71","0,12","0,054",-,-,78,"0,14","12,8",-,"0,13","1,16","0,7",19,"0,014",175,222,"5,73",55,"2,11",45,-,"0,4","0,44",0,-,0,"0,1","0,19","5,41","0,59","0,22","9,2","1,73"
"Agneau, selle, partie maigre, grillée/poêlée","153,45","26,1","68,3",0,"5,45",0,-,0,0,-,0,0,"2,05","1,95","0,54",-,-,-,-,"0,022","0,2","1,02","0,6","1,52","0,29","0,039","0,061",-,"0,0081",-,-,-,-,-,"1,28",-,-,-,-,-,"10,3",-,"3,67",-,-,-,-,-,-,-,-,-,"6,67",-,"0,29",-,"1,53"
"Agneau, selle, partie maigre, rôtie/cuite au four","153,45","26,1","68,3",0,"5,45",0,-,0,0,"1,16",0,0,"2,01","1,92","0,53",0,0,0,"0,06","0,022","0,19",1,"0,59","1,49","0,28","0,039","0,06",0,"0,008",91,"0,16",18,-,"0,12","1,21",-,23,"0,02",180,246,"10,3",64,"3,67",0,0,"0,1","0,11","4,7",-,0,"0,1","0,24","6,67","0,83","0,27",19,"1,53"
"Agneau, viande, cuite (aliment moyen)","209,55","28,3","60,4","0,012","10,7",0,,0,0,,0,0,"3,67","3,55","0,88",,,,,"0,031","0,28","1,61","0,94",,,,,,"0,0062",,,,,,"1,73",,,,,,"7,87",,"4,9",,,,,,,,,,"6,41",,"0,2",,"2,26"
"Ail séché, poudre","324,93","16,7","6,48","62,8","0,77","2,43",-,"9,45",0,"3,42",0,0,"0,2","0,067","0,29",0,0,0,"0,0024",0,"0,012","0,097","0,084","0,062","0,27","0,016",-,0,0,0,"0,11","79,5",-,"0,53","4,2",-,"67,5","0,98",416,1150,-,43,"2,81",0,0,0,"0,67","0,4",-,"2,39","0,45","0,15","0,74","0,74","1,65",47,0
"Ail, cru","111,10","5,81","64,3","21,2","0,34","1,43","13,4","4,7",0,"1,41",0,-,"0,075","0,011","0,25",0,0,0,"0,002",0,"< 0,00027","0,062","0,0039","0,011","0,14","0,013",0,0,0,0,"0,098","80,5",61,"0,3","1,6","0,9",25,"1,67",157,401,2,39,"1,16",0,5,0,"0,045","1,7",-,"18,1","0,2","0,11","0,7","0,6","1,99","51,3",0
Alcool pur,"0,00",0,-,0,0,0,0,0,0,0,"94,3",0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,1,0,-,0,0,-,0,0,0,0,0,0,-,-,0,0,0,0,-,0,0,0
Aligot (purée de pomme de terre à la tomme fraîche),"188,30","8,55",-,"9,5","12,9",0,-,"1,55",0,"1,01",0,0,"9,05",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,01",-,-,-,-,-,-,-,-,-,-,320,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amande (avec peau),"596,40","21,1","4,58","7,85","53,4","4,4","0,6","10,2",-,"2,93",0,0,"4,19","31,8","13,5","< 0,005","< 0,005","< 0,005","< 0,0033","< 0,0033","0,024","3,04","0,66","31,5","11,6","0,052","< 0,01","< 0,005","< 0,005",0,"0,004",248,< 61,"0,9",3,"5,7",232,"1,39",416,668,"< 2,2","1,61","2,85",0,1,0,"14,6",0,-,"< 0,5","0,18","0,91","3,4","0,28","0,11","93,1",0
"Amande, grillée, salée","604,38","21,1","2,41","8,72","53,9","4,86","0,73","10,9",-,"3,07",0,0,"4,09","33,1",13,0,0,0,0,0,"0,019","3,35","0,7","32,7","12,9","0,006",-,0,0,0,"1,25",268,-,"1,1","3,73",-,279,"2,23",471,713,-,498,"3,31",0,1,0,"23,9",0,-,0,"0,077","1,2","3,64","0,32","0,14",55,0
"Amande, mondée, émondée ou blanchie","593,14","21,4","4,51","8,76","52,5","4,63",1,"9,9",-,"2,91",0,0,"3,95","33,4","12,4",0,0,0,0,0,0,"3,27","0,67",-,-,-,-,0,0,0,"0,048",236,-,"1,03","3,28",-,268,"1,84",481,659,-,19,"2,97",0,4,0,"23,8",0,-,0,"0,19","0,71","3,5","0,31","0,12",49,0
"Amarante, crue","353,58",14,"11,3","58,6","7,02","1,68","56,9","6,7",0,"2,88",0,0,"1,46","1,69","2,78",-,-,0,0,0,"0,011","1,15","0,22","1,43","2,74","0,041",-,-,-,0,"0,01",159,-,"0,53","7,61",-,248,"3,33",557,508,-,4,"2,87",0,1,0,"1,19",0,-,"4,2","0,12","0,2","0,92","1,46","0,59",82,0
Amidon de maïs ou fécule de maïs,"360,77","0,43","9,26","89,2","0,25",0,87,"0,8",0,"0,09",0,0,"0,009","0,016","0,025",0,0,0,0,0,0,"0,0081","0,0009",-,0,-,-,0,0,0,"0,019",6,-,"0,05","0,38","0,6","3,5","0,53",56,4,"2,8","10,2","0,28",0,0,0,0,0,-,0,0,"0,008","0,03",0,"0,005",1,0
Amidon de riz,"342,40","0,6","14,2",85,0,-,-,0,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,0,-,-,-,-,-,-,-,-,-,-
"Ananas au sirop et jus d'ananas, appertisé, égoutté","54,40",0,"84,5","13,6",0,"12,8",-,"1,4",-,"< 0,25",0,-,-,-,-,"< 0,006",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,18,"0,04","0,19",< 20,12,"1,2","7,8",130,< 20,< 1,"0,11",-,"24,2",-,-,"< 0,8",-,"4,99","0,063","< 0,01","2,2","0,067","0,076","13,5",-
"Ananas au sirop et jus d'ananas, appertisé, non égoutté","55,64","0,31","84,9","13,6",0,"12,6",-,"0,92",-,"0,31",0,-,-,-,-,"< 0,006",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,00049","10,3",18,"0,033","0,19",< 20,"11,7","1,13","7,14",127,< 20,"0,2","0,11",-,"15,9",-,-,"< 0,8",-,"4,98","0,063","< 0,01","1,44","0,061","0,064","12,9",-
"Ananas au sirop léger, appertisé, égoutté","63,60",0,82,"15,9",0,"15,9",-,"1,6",-,"< 0,25",0,-,-,-,-,"< 0,006",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0048","6,4","13,1","0,04","0,13",< 20,11,"1,2","4,8",95,< 20,"1,9","0,05",-,"19,7",-,-,"< 0,8",-,"5,22","0,034","< 0,01","< 0,1","0,04","0,046","11,9",-
"Ananas au sirop léger, appertisé, non égoutté","65,78","0,27","82,4",16,"0,078","15,7",-,"1,01",-,"0,22",0,-,"0,009","0,013","0,04","< 0,006",0,0,-,0,0,"0,005","0,003",-,-,-,-,0,0,0,"0,0047","5,77","13,9","0,033","0,12",< 20,"11,4","1,16","4,06",101,< 20,"1,86","0,031",0,"12,4",0,"0,01","< 0,8",-,"5,11","0,037","< 0,01","< 0,1","0,03","0,029","11,8",0
"Ananas, pulpe, cru","48,24","0,52","85,9",11,"0,24","10,4",0,"1,33",-,"0,31",0,"0,72","0,009","0,013","0,04",0,0,0,0,0,0,"0,005","0,003",-,-,-,-,0,0,0,"0,0024","21,5",-,"0,067","0,25","1,4","20,3","3,61",11,142,"< 2,2","0,97","0,073",0,35,0,"0,06","0,7",-,"36,4","0,08","0,026","0,35","0,19","0,1","15,1",0
"Anchois au sel (anchoité, semi-conserve)","127,90",25,-,0,"3,1",0,0,0,0,"10,3",0,0,"0,82","0,76","1,05",-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,"9,01",542,-,-,"6,9",-,-,-,481,215,-,3600,"1,7",55,0,"4,6","0,29",-,-,0,"0,06","0,26",14,-,"0,14",8,-
"Anchois commun, cru","136,23","20,4","71,8",0,"6,07",0,0,0,0,"1,43",0,0,"1,64","1,11","1,69",0,0,0,0,"0,011","0,32","1,04","0,27","0,89","0,17","0,073","0,035","0,48","0,93",124,"0,18","86,5",-,"0,38","2,63",55,"22,3","0,23",162,294,"21,3",73,"1,86","65,7",0,11,"0,57","0,1",-,0,"0,061","0,32","12,7","0,65","0,14",9,"0,62"
"Anchois commun, mariné","135,74","23,9","60,2","2,7","3,26",0,0,0,0,"8,85",0,0,"1,04","0,69","1,36","< 0,0016","< 0,0016","< 0,0016","< 0,0016","0,004","0,11","0,67","0,12","0,57","0,33","0,026","0,015","0,35","0,54",105,"5,58",120,5310,"0,17","2,8",8,102,"0,14",148,159,46,2230,"1,95",11,0,"2,4","1,1",-,-,-,"< 0,04","0,2","2,75","0,41","0,18",37,"15,3"
"Anchois, filets à l'huile, semi-conserve, égoutté","181,65","26,4","55,1",0,"8,45",0,0,"< 0,25",0,"12,2",0,0,"3,08","3,55","1,4","< 0,0041","< 0,0041","< 0,0041","< 0,0041","0,012","0,071","0,79","2,07","3,42","0,34","0,053","0,011","0,41","0,58","75,5","11,3",189,6090,"0,25","3,22",30,"43,7","0,1",231,355,8,4210,"2,92",5,0,"1,7","1,16","12,1",-,"< 0,5","< 0,04","0,25","3,9","0,63","0,37","14,5","20,9"
"Anchois, filets roulés aux câpres, semi-conserve, égoutté","197,82","24,8",-,"1,48","10,3",-,-,< 1,0,"17,4",0,0,"0,86","2,09","4,49","< 0,0073","< 0,0073","< 0,0073","< 0,0073","< 0,0073","0,0073","0,44","0,25",-,"3,78","0,028","< 0,0073","< 0,0073","0,026",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andouille,"210,70","18,4","60,5","0,3","15,1",0,-,0,0,"2,55",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,08",-,1730,-,-,2,-,-,-,-,-,820,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andouille de Guéméné,"234,00",18,-,0,18,0,-,0,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andouille de Vire,"238,00",19,-,0,18,0,-,0,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Andouille, réchauffée à la poêle","270,00","22,5","55,5",0,20,"< 0,2",< 1,< 1,0,"3,35",0,0,"9,29","7,68","2,06","< 0,019","< 0,019","< 0,019","0,023","0,029","0,3","4,88","3,79","7,25","1,37","0,087","0,43",-,-,330,"2,82",18,-,"0,2","2,4",24,"12,2","< 0,1",150,104,24,1130,"3,4",11,16,"< 0,5","0,48",-,-,< 1,"0,056","0,28","1,55","0,48","0,12",< 20,"1,35"
"Andouillette de Troyes, crue","251,80","19,7","59,9","0,5",19,"< 0,5",-,"0,9",0,"2,4",0,0,"7,91","6,93","2,3",-,-,-,"0,02","0,02","0,26","4,44","3,08",-,"1,75","0,12",-,-,-,310,"1,97","26,1",-,"0,2","2,8",-,"9,4","< 0,2",110,"58,4",22,830,"2,6",-,-,"< 0,25","0,55",-,-,-,"0,02",-,"0,8",-,"< 0,1",< 2,"0,5"
"Andouillette, crue","225,90","18,8",63,1,"16,3","< 0,5","0,33","0,71",0,"1,76",0,0,"6,94","6,22","1,72",-,-,-,"0,014","0,02","0,22","3,84","2,71",-,"1,26","0,12",-,-,-,284,"1,46","34,1",-,"0,28","1,67",2,"12,5","0,16",112,"55,6","18,3",584,"2,6",-,0,"< 0,25","0,39",-,-,-,"0,028","0,15","0,81",-,"< 0,1","1,2","0,49"
"Andouillette, sautée/poêlée","300,86","24,5","48,7","0,54","22,3","< 0,2",< 1,< 1,0,"3,48",0,0,"11,1","8,37","2,85","< 0,02","< 0,02","< 0,02","< 0,02","< 0,02","0,58","6,84","3,5","7,76","2,27","0,2","0,25",-,-,344,"2,73","35,6",-,"0,2","2,3",15,"9,6","< 0,1","98,3",64,19,1090,"4,3",52,< 30,"< 0,5","0,41",-,-,< 1,"0,035","0,15","0,96","0,24","0,09",< 20,"0,91"
"Aneth, frais","41,22","3,93",86,"3,9","1,1","1,2",-,"3,5",0,"2,5",0,0,"0,27","0,54","0,064",-,-,-,-,"0,001","0,001","0,046","0,008","0,54","0,056","0,0087",-,-,-,0,"0,15",202,-,"0,22","5,5","3,9",28,"2,7","51,9",647,"2,7",27,"1,8",0,-,0,"1,7",-,-,70,"0,19","0,43","2,4","0,3","0,3",116,0
"Anguille, bouillie/cuite à l'eau","196,30","20,5",62,0,"12,7",0,-,0,0,-,0,0,"3,28","6,38","1,8",-,-,-,-,-,-,-,-,-,-,-,-,"0,24","0,47",-,-,-,-,"0,029",-,8,-,"0,04",-,-,28,-,"2,08",-,0,-,"5,1",-,-,-,-,-,-,-,-,-,-
"Anguille, crue","240,60","18,3","62,1",0,"18,6",0,0,0,0,"1,09",0,0,"3,89","8,42","2,39",0,0,0,0,0,"0,78","2,67","0,44","5,28","0,66","0,21","0,16","0,49","0,68",120,"0,16","23,6",57,"0,041","0,71","36,3",18,"0,078",285,260,"28,7","65,5","2,27",1280,0,16,6,"1,25",-,"1,6","0,17","0,24","3,16","0,17","0,21","13,8","2,8"
"Anguille, cuite (aliment moyen)","212,60","22,1","60,7",0,"13,8",0,,0,0,,0,0,"3,15","7,8","1,51",,,,,,,,,,,,,"0,2","0,37",,,,,"0,029",,8,,"0,04",,,,,"2,08",,0,,,,,,,,,,,,
"Anguille, rôtie/cuite au four","229,40","23,6","59,3",0,15,0,-,0,0,"1,8",0,0,"3,02","9,22","1,21",0,0,0,0,0,"0,74","2,03","0,25",-,-,-,-,"0,17","0,28",161,"0,16",26,-,"0,029","0,64",8,26,"0,04",277,349,-,65,"2,08",1140,0,-,-,-,-,"1,8","0,18","0,051","4,49","0,28","0,077",17,"2,89"
"Ao-nori (Enteromorpha sp.), séchée ou déshydratée","152,23","13,7","7,65","18,8","2,47",-,-,36,-,"21,4",0,-,"0,23","0,18","0,25",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,9",1610,-,"1,21",234,9390,2440,"24,7",1040,1850,"10,7",4760,"6,08",-,-,0,11,-,-,"35,4","0,29","1,1","4,77",-,-,"39,6","30,6"
Apéritif à base de vin ou vermouth,"45,65","0,013","75,3","11,4",0,"11,1",0,0,0,"0,19","13,1",0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,038","7,37",-,"0,1","0,44","1,2",7,0,"6,25",48,0,15,"0,035",0,0,0,0,-,-,-,0,0,"0,045",-,"0,0075",0,"0,0033"
Apéritif anisé sans alcool,"4,00",0,-,1,0,"0,03",0,1,0,"0,044",0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,038","1,83",-,-,0,"1,2","0,33","0,004",0,"3,9",0,15,"0,03",-,0,-,0,-,-,0,0,0,0,0,0,0,-
"Arachide, bouillie/cuite à l'eau, salée","298,16","15,5","41,8","9,54",22,"2,47",-,"8,8",-,"2,42",0,0,"3,06","10,9","6,96",0,0,0,0,0,"0,011","2,3","0,49",-,-,-,-,0,0,0,"1,88",55,-,"0,5","1,01",-,102,"1,02",198,180,-,751,"1,83",0,0,0,"4,1",0,-,0,"0,26","0,063","5,26","0,83","0,15",75,0
"Artichaut, appertisé, égoutté","36,60","2,2","89,9","6,5","0,2","1,5",-,3,-,"0,8",0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,8",-,-,-,-,-,-,-,-,-,-,320,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Artichaut, coeur, appertisé, égoutté","16,44","1,8","90,5","2,31",0,"1,2","< 0,35","3,2","< 0,5","1,5",0,"0,44","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01",-,"0,78",25,499,"0,07","0,4",< 20,18,"0,13",34,150,< 20,310,"0,28",-,"24,6","< 0,25","1,12","6,29",-,"12,2","0,021","0,03","0,39","0,13","0,026","54,3",-
"Artichaut, cru","34,10","3,1","84,9","5,02","0,18","0,99","0,6","5,4",-,"1,12",0,"0,27","0,036","0,005","0,064",0,0,0,0,"0,002","0,002","0,029","0,003",-,-,-,-,0,0,0,"0,15",52,-,"0,23","1,19","0,5","47,8","0,26","81,2",387,"0,23","60,5","0,49",0,8,0,"0,27","14,8",-,"11,7","0,081","0,063","1,05","0,32","0,11",68,0
"Artichaut, cuit","16,60","2,53","85,8","0,99","0,28","0,99",0,"8,3",-,"1,21",0,-,"0,069","0,011","0,14",0,0,0,0,"0,004","0,00045","0,055","0,0057","0,0029","0,11","0,025",-,0,0,0,"0,14","42,9",-,"0,082","0,67",< 5,"44,6","0,14",73,427,< 10,60,"0,29",0,8,0,"0,19","14,8",-,"9,1","0,05","0,089","1,11","0,24","0,081",89,0
"Artichaut, fond, appertisé, égoutté","18,08","1,5","91,3","3,02",0,"0,8","< 0,35","2,6","< 0,5","1,2",0,"0,43","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01",-,"0,73",36,464,"0,06","0,36",< 20,20,"0,05",26,140,< 20,293,"0,2",-,"10,7","< 0,25","0,42","1,57",-,18,"0,041","< 0,01","0,2","0,09","0,22","53,6",-
"Artichaut, fond, surgelé, cru","43,79","1,89","84,7","8,09","0,43","1,89",-,"7,54",-,"0,18",0,-,"0,1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,18",-,-,-,-,-,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","127,90","7,22","10,8","18,5","2,78",-,-,"41,8",-,"18,9",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,15",1650,-,"0,72","21,8",68200,836,"2,52",162,2270,"6,69",2860,"6,45",-,3730,"0,89",14,1020,-,"94,8","0,31","0,96","2,74","0,018","5,61","22,7","2,11"
Asiago,"358,80","32,1",-,0,"25,6",0,0,0,0,"3,3",0,-,"15,9","8,28","0,9",-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,"1,9",770,-,-,"0,7",-,-,-,530,97,-,760,"2,2",175,150,"0,19","0,48",-,-,0,"0,03","0,35","0,1",-,"0,09",40,-
"Asperge, appertisée, égouttée","15,31","1,79","94,2","1,43","0,27","1,23",-,"1,5",-,"0,96",0,-,"0,085","0,012","0,17",0,0,0,0,"0,0019","0,0039","0,074","0,0048","0,002","0,05","0,004",-,0,0,0,"0,7","15,8",-,"0,076","1,09","0,7","8,5","0,16",35,142,"0,2",291,"0,42",0,493,0,"0,74","41,3",-,"18,4","0,046","0,07","0,63","0,1","0,11",72,0
"Asperge, blanche ou violette, pelée, crue","22,70","2,5","92,4","2,5","0,3",-,-,"1,8",-,"0,6",0,-,"0,07","0,006","0,17",-,-,-,-,-,-,"0,068","0,002","0,005","0,15","0,014",-,-,-,0,"0,019","16,6",-,-,-,-,"7,3",-,"42,5",169,-,"7,7",-,0,-,0,-,-,-,18,-,-,-,-,"0,072",150,0
"Asperge, bouillie/cuite à l'eau","16,24","2,53",93,"0,81","0,32","0,81",0,"1,8",-,"0,62",0,-,"0,072","0,013","0,15",0,0,0,0,"0,00094","0,0028","0,063","0,0056",-,-,-,-,0,0,0,"0,028","19,9",-,"0,074","0,74","0,25","6,31","0,049","51,5",198,"< 3,35","8,5","0,2",0,544,0,"1,35","65,3",-,"16,1","0,11","0,12","1,06","0,19","0,05",142,0
"Asperge, pelée, crue","19,65","2,04","93,3","2,4","0,21","1,88",-,"1,95",-,"0,54",0,-,"0,051","0,005","0,098",0,0,0,0,0,0,"0,049","0,002","0,004","0,09","0,0081",-,0,0,0,"0,011",22,-,"0,12","1,32","0,15","11,5","0,16",52,202,1,"4,2","0,49",0,449,0,"0,72","40,3",-,"8,8","0,13","0,12","0,99","0,17","0,076",101,0
"Asperge, verte, crue","20,39","2,46","92,5","2,03","0,27","1,5",-,"2,15",-,"0,5",0,-,"0,069","0,007","0,16",-,-,-,-,-,-,"0,067","0,002","0,005","0,15","0,013",-,-,-,0,"0,014","22,4",-,-,1,-,"12,2",-,"85,5",267,-,"3,85",-,0,-,0,-,-,-,"15,5",-,-,-,-,"0,15",150,0
"Aubergine, crue","15,30","1,12","92,9","2,39","0,14","2,39",-,"2,7",-,"0,58",0,"0,18","0,034","0,016","0,076",0,0,0,0,0,0,"0,025","0,009","0,011","0,067","0,0091",0,0,0,0,"0,0063","8,7",-,"0,081","0,32","0,15",12,"0,24","27,2",235,"0,2","2,5","0,16",0,14,0,"0,17","3,5",-,"2,1","0,045","0,034","0,72","0,25","0,082","24,5",0
"Aubergine, cuite","24,12","1,23","89,7","4,17","0,28","3,41",-,"4,3",-,"0,67",0,-,"0,052","0,07","0,12",0,0,0,0,0,"0,001","0,032","0,012","0,012","0,12",0,0,0,0,0,"0,015","20,1",-,"0,058","0,25",1,15,"0,12",15,123,"< 3,35","5,95","0,098",0,22,0,"0,41","2,9",-,"1,3","0,076","0,02","0,6","0,075","0,086",14,0
"Autruche, viande crue","159,10","20,2","71,1",0,"8,7",0,-,0,0,"0,73",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,"0,18",7,-,"0,13","2,91",-,20,"0,017",199,291,-,72,"3,51",0,0,-,"0,24",-,-,0,"0,18","0,27","4,38","1,08","0,48",7,"4,61"
"Autruche, viande cuite","168,43","26,2","67,1",0,"7,07",0,-,0,0,"0,83",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,"0,2",8,-,"0,14","3,43",-,23,"0,017",224,323,-,80,"4,33",0,0,"0,1","0,24","3,5",-,0,"0,21","0,27","6,56","1,21","0,5",14,"5,74"
